"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1994","Check displaying of dashboard page","LMS system","2026-08-14","passed","2026-08-14","Dashboard","Dashboard","",""
"","1973","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1613","Navigation from login page to registration page","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","2258","Create course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","3060","Click delete course and cancel deletion","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","3140","Edit course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","3071","User login with correct email and password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1714","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","2905","Delete course and confirm course deletion","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","1803","Registration with correct email, username and password","LMS system","2026-08-14","passed","2026-08-14","Registration","Authentication","",""
"","2183","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1550","Check displaying of empty courses list","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","2794","Click delete course and close delete confirmation","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
