"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1951","Registration with correct email, username and password","LMS system","2026-08-14","passed","2026-08-14","Registration","Authentication","",""
"","2077","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","1691","Navigation from login page to registration page","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","2880","Click delete course and close delete confirmation","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","2054","Check displaying of dashboard page","LMS system","2026-08-14","passed","2026-08-14","Dashboard","Dashboard","",""
"","2219","Create course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","1996","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","3109","User login with correct email and password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","3018","Delete course and confirm course deletion","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","1710","User login with wrong email or password","LMS system","2026-08-14","passed","2026-08-14","Authorization","Authentication","",""
"","2995","Edit course","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","1578","Check displaying of empty courses list","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
"","3079","Click delete course and cancel deletion","LMS system","2026-08-14","passed","2026-08-14","Courses","Courses","",""
