"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3071","Delete course and confirm course deletion","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
"","2406","Registration with correct email, username and password","LMS system","2026-08-20","passed","2026-08-20","Registration","Authentication","",""
"","2218","Logout after authorization","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","2224","User login with wrong email or password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","2056","Check displaying of dashboard page","LMS system","2026-08-20","passed","2026-08-20","Dashboard","Dashboard","",""
"","3309","User login with correct email and password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","1707","User login with wrong email or password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","2418","Create course","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
"","2088","User login with wrong email or password","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","1725","Navigation from login page to registration page","LMS system","2026-08-20","passed","2026-08-20","Authorization","Authentication","",""
"","1577","Check displaying of empty courses list","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
"","3046","Click delete course and close delete confirmation","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
"","3263","Click delete course and cancel deletion","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
"","3157","Edit course","LMS system","2026-08-20","passed","2026-08-20","Courses","Courses","",""
