"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_logout","tests.pytest","2026-08-10","passed","2026-08-10","TestUserAuthentication","test_markers","",""
"","3662","User login with correct email and password","LMS system","2026-08-10","passed","2026-08-10","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-08-10","passed","2026-08-10","","test_markers","",""
"","1483","Navigation from login page to registration page","LMS system","2026-08-10","passed","2026-08-10","Authorization","Authentication","",""
"","1775","Check displaying of dashboard page","LMS system","2026-08-10","passed","2026-08-10","Dashboard","Dashboard","",""
"","3005","Edit course","LMS system","2026-08-10","passed","2026-08-10","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-08-10","passed","2026-08-10","TestUserAuthentication","test_markers","",""
"","1743","User login with wrong email or password","LMS system","2026-08-10","passed","2026-08-10","Authorization","Authentication","",""
"","1","test_critial_login","tests.pytest","2026-08-10","passed","2026-08-10","","test_markers","",""
"","2677","Create course","LMS system","2026-08-10","passed","2026-08-10","Courses","Courses","",""
"","2147","Registration with correct email, username and password","LMS system","2026-08-10","passed","2026-08-10","Registration","Authentication","",""
"","2275","User login with wrong email or password","LMS system","2026-08-10","passed","2026-08-10","Authorization","Authentication","",""
"","1957","User login with wrong email or password","LMS system","2026-08-10","passed","2026-08-10","Authorization","Authentication","",""
"","1796","Check displaying of empty courses list","LMS system","2026-08-10","passed","2026-08-10","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","2026-08-10","passed","2026-08-10","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-10","passed","2026-08-10","TestUserInterface","test_markers","",""
